type,cat2
bridleway,Nomotorway
cycleway,Nomotorway
footway,Nomotorway
living_street,tertiary
motorway,primary
motorway_link,primary
path,Nomotorway
pedestrian,Nomotorway
primary,primary
primary_link,primary
residential,tertiary
secondary,secondary
secondary_link,secondary
service,tertiary
steps,Nomotorway
tertiary,tertiary
tertiary_link,tertiary
track,Nomotorway
track_grade1,Nomotorway
track_grade2,Nomotorway
track_grade3,Nomotorway
track_grade4,Nomotorway
track_grade5,Nomotorway
trunk,primary
trunk_link,primary
unclassified,unclassified
unknown,unclassified
nan,unclassified
